Code,County
AB,Onondaga
AM,Onondaga
AR,Onondaga
AT,Livingston
BB,Madison
BC,Livingston
BE,Onondaga
BF,Erie
BG,Ontario
BH,Seneca
BL,Erie
BM,Seneca
BN,Madison
BO,Onondaga
BR,Seneca
BK,Onondaga
BV,Madison
BW,Genesee
BY,Cayuga
CA,Cayuga
CC,Cayuga
CH,Onondaga
CL,Onondaga
CQ,Madison
CS,Onondaga
CY,Seneca
CZ,Erie
DA,Genesee
DE,Onondaga
DF,Onondaga
DG,Madison?
DN,Cayuga
DR,Ontario
DT,Madison
EA,Lingston
EE,Genesee
EI,Chenango
EL,Madison
EP,Madison
ET,Erie
ER,Cayuga
EV,Madison
FB,Livingston
FC,Onondaga
FD,Seneca
FF,Onondaga
FR,Genesee
FY,Seneca
FS,Onondaga
FT,Ontario
GC,Seneca
GE,Madison
GF,Onondaga
GH,Cayuga
GR,Ontario
GT,Madison
GU,Onondaga 
HG,Cayuga
HI,Livingston
HL,Onondaga
HM,Madison
HO,Ontario
JK,Onondaga
JY,Livingston
KC,Seneca
KG,Yates
KN,
KS,Ulster
LB,Livingston
LE,Erie
LF,Onondaga
LH,Onondaga
LS,Livingston
LV,Madison
MC,Genesee
MF,Cayuga
MG,Onondaga
MI,PENNSYLVANIA
MO,
MR,Erie
MT,Ontario
NB,Otsego
NW,PENNSYLVANIA
OC,
OK,Genesee
PB,Erie
PF,Onondaga
PG,Madison
PM,Onondaga
PN,Cayuga
PP,Tompkins
PR,Yates
PW,Madison
PV,Genesee
PY,Cayuga
RC,Onondaga
RE,Ontario
RG,Madison
RN,Otsego
RS,Onondaga
RT,Livingston
RV,Madison
SC,Erie
SD,Seneca
SG,Tompkins
SR,Onondaga
SW,Ulster
SY,
SZ,Onondaga
TF,Cortland
TM,Onondaga
TW,Genesee
YC,Cayuga
YH,Erie
WC,Seneca
WD,Cayuga
WE,Albany
WG,Livingston
WR,Madison
HP,Onondaga
HD,Onondaga
PC,Cayuga
SU,Schocharie
EB,
EC,
MB,
SH,
CB01,Erie
CB02,Erie
CB5A,Erie
CB5B,Erie
CB10,Genesee
CB11,Livingston
CB14,Livingston
CB16,Ontario
CB18,Ontario
CB20,Ontario
CB21,Yates
